dice1,dice2,dice3,dice4,dice5,label
2,2,5,2,4,three-of-a-kind
3,1,4,2,3,small-straight
5,3,5,2,1,nothing
6,5,5,2,6,nothing
4,6,5,2,1,nothing
4,4,2,6,2,nothing
1,3,1,1,6,three-of-a-kind
5,5,4,5,3,three-of-a-kind
6,2,5,4,2,nothing
6,4,3,4,3,nothing
3,5,3,5,5,full-house
1,5,5,1,1,full-house
3,3,6,5,2,nothing
4,3,3,1,6,nothing
5,2,4,2,6,nothing
2,1,4,5,4,nothing
5,3,5,4,6,small-straight
2,1,5,2,2,three-of-a-kind
1,6,5,4,3,small-straight
1,5,1,3,5,nothing
3,5,6,5,3,nothing
1,6,1,3,6,nothing
1,3,4,1,4,nothing
2,3,5,1,5,nothing
3,6,2,4,3,nothing
2,5,5,3,1,nothing
3,6,5,3,2,nothing
1,3,2,1,3,nothing
6,6,5,4,4,nothing
4,6,4,2,6,nothing
3,1,1,3,3,full-house
5,6,5,5,4,three-of-a-kind
1,3,5,1,1,three-of-a-kind
5,5,3,5,1,three-of-a-kind
4,3,4,6,6,nothing
4,3,1,5,1,nothing
4,1,2,1,3,small-straight
4,1,3,1,3,nothing
3,1,1,2,4,small-straight
2,6,4,5,1,nothing
2,4,6,4,5,nothing
4,4,1,3,6,nothing
2,3,3,1,2,nothing
2,6,1,2,6,nothing
3,5,5,4,6,small-straight
5,1,6,5,1,nothing
2,5,6,5,4,nothing
2,3,1,3,1,nothing
5,2,3,5,5,three-of-a-kind
3,1,6,5,4,small-straight
1,5,5,3,1,nothing
3,5,5,5,3,full-house
2,5,2,3,2,three-of-a-kind
3,4,2,1,1,small-straight
6,5,3,3,3,three-of-a-kind
6,4,5,2,2,nothing
1,5,6,2,3,nothing
4,2,5,1,5,nothing
5,2,1,4,6,nothing
4,2,6,3,1,small-straight
3,3,1,5,6,nothing
4,1,1,5,5,nothing
6,4,1,2,4,nothing
4,3,6,2,2,nothing
4,6,2,5,2,nothing
6,1,4,6,6,three-of-a-kind
2,1,5,6,4,nothing
4,3,1,4,5,nothing
3,3,6,5,4,small-straight
6,6,5,6,2,three-of-a-kind
5,6,3,3,1,nothing
5,2,3,1,5,nothing
6,5,4,2,4,nothing
3,6,1,2,6,nothing
5,4,2,5,3,nothing
5,5,6,4,6,nothing
2,4,3,6,2,nothing
5,6,5,3,3,nothing
1,2,2,6,6,nothing
5,5,4,4,2,nothing
3,5,1,5,4,nothing
6,6,2,4,3,nothing
2,5,3,3,6,nothing
3,2,4,6,4,nothing
5,1,5,6,3,nothing
1,6,1,3,3,nothing
2,1,4,6,5,nothing
4,5,2,6,3,large-straight
4,5,3,1,4,nothing
6,2,1,1,1,three-of-a-kind
1,6,6,6,6,four-of-a-kind
3,5,6,3,5,nothing
3,5,6,4,2,large-straight
5,5,4,1,5,three-of-a-kind
4,5,2,3,2,nothing
4,3,5,1,6,small-straight
2,2,5,5,1,nothing
3,4,6,6,2,nothing
4,1,4,5,4,three-of-a-kind
2,2,5,3,2,three-of-a-kind
6,2,1,3,4,small-straight
2,3,6,5,6,nothing
1,6,5,3,5,nothing
5,2,6,5,3,nothing
2,4,6,1,2,nothing
5,4,1,6,4,nothing
1,2,1,6,6,nothing
2,4,5,1,1,nothing
1,5,5,1,2,nothing
3,2,6,3,6,nothing
2,5,5,6,5,three-of-a-kind
3,3,3,4,4,full-house
4,3,2,4,5,nothing
1,5,6,1,1,three-of-a-kind
1,5,3,2,5,nothing
1,1,5,6,1,three-of-a-kind
5,2,3,6,3,nothing
6,5,5,4,4,nothing
1,6,1,6,2,nothing
2,6,2,2,3,three-of-a-kind
3,5,2,3,4,nothing
3,1,6,5,5,nothing
2,4,3,4,2,nothing
5,4,6,1,1,nothing
5,3,6,1,3,nothing
6,3,4,2,2,nothing
2,4,4,5,3,nothing
6,4,3,4,5,small-straight
1,5,4,4,3,nothing
3,6,4,3,1,nothing
1,5,2,2,6,nothing
3,2,5,5,2,nothing
3,3,3,6,1,three-of-a-kind
3,4,6,5,4,small-straight
2,5,3,2,6,nothing
3,6,1,6,2,nothing
1,5,3,1,5,nothing
3,2,2,5,4,nothing
1,4,2,5,6,nothing
1,3,2,2,3,nothing
2,5,4,1,1,nothing
1,2,1,6,5,nothing
3,2,1,5,6,nothing
5,6,5,4,2,nothing
2,3,3,2,5,nothing
2,4,3,3,6,nothing
1,4,1,3,6,nothing
3,1,3,4,1,nothing
3,4,6,4,4,three-of-a-kind
5,6,4,5,2,nothing
5,2,4,4,1,nothing
2,4,2,3,2,three-of-a-kind
2,1,4,1,4,nothing
4,1,2,4,6,nothing
2,2,3,4,2,three-of-a-kind
2,2,4,1,1,nothing
2,6,2,3,5,nothing
4,3,1,6,6,nothing
3,5,6,4,4,small-straight
4,6,1,4,5,nothing
3,1,1,3,6,nothing
6,4,3,6,5,small-straight
5,5,5,1,4,three-of-a-kind
6,1,6,6,4,three-of-a-kind
1,6,5,4,6,nothing
2,2,2,3,4,three-of-a-kind
6,4,3,5,5,small-straight
1,1,5,1,4,three-of-a-kind
2,4,4,1,1,nothing
5,5,5,5,5,yathzee
2,6,5,1,5,nothing
4,2,3,5,3,nothing
4,3,2,1,3,small-straight
1,3,5,2,4,large-straight
1,4,6,3,2,small-straight
3,1,5,4,4,nothing
4,5,5,5,6,three-of-a-kind
1,1,3,5,1,three-of-a-kind
6,1,2,1,5,nothing
4,5,2,4,2,nothing
1,4,3,5,5,nothing
3,1,5,6,4,small-straight
3,4,6,1,3,nothing
2,6,5,6,1,nothing
3,1,2,5,1,nothing
2,5,2,3,6,nothing
5,3,3,2,1,nothing
2,5,3,4,4,nothing
6,5,6,6,6,four-of-a-kind
5,4,2,4,5,nothing
3,6,1,1,1,three-of-a-kind
4,3,5,3,6,small-straight
5,4,5,6,5,three-of-a-kind
6,5,3,2,5,nothing
5,1,6,1,2,nothing
3,5,2,1,4,large-straight
3,1,6,3,5,nothing
4,2,2,6,4,nothing
1,5,3,1,3,nothing
1,5,2,1,6,nothing
6,3,1,1,1,three-of-a-kind
3,2,6,6,6,three-of-a-kind
6,2,6,6,4,three-of-a-kind
1,5,6,2,5,nothing
4,6,5,4,2,nothing
4,2,1,4,1,nothing
2,5,2,6,3,nothing
4,2,2,6,2,three-of-a-kind
2,4,1,2,1,nothing
4,2,6,1,1,nothing
2,5,5,1,1,nothing
4,6,4,6,5,nothing
1,2,6,5,6,nothing
2,1,3,5,5,nothing
2,4,3,5,6,large-straight
6,5,3,6,3,nothing
5,1,6,3,4,small-straight
5,6,6,2,2,nothing
1,1,6,1,5,three-of-a-kind
3,4,6,4,5,small-straight
5,6,1,6,6,three-of-a-kind
5,5,5,2,2,full-house
2,2,6,3,2,three-of-a-kind
4,5,6,4,2,nothing
1,6,5,1,1,three-of-a-kind
4,2,3,6,6,nothing
4,6,2,1,6,nothing
2,5,2,3,4,nothing
3,2,1,4,4,small-straight
1,1,5,3,4,nothing
3,2,4,4,6,nothing
6,3,4,1,4,nothing
4,5,2,4,4,three-of-a-kind
6,2,6,3,2,nothing
5,5,2,1,6,nothing
3,5,6,6,5,nothing
2,1,6,5,6,nothing
5,6,3,3,3,three-of-a-kind
2,6,1,1,2,nothing
2,4,2,6,5,nothing
3,5,2,2,1,nothing
4,5,5,2,1,nothing
3,3,3,3,6,four-of-a-kind
3,6,1,6,3,nothing
2,5,3,5,1,nothing
5,2,3,5,2,nothing
4,5,3,3,2,nothing
3,2,5,3,2,nothing
2,2,2,2,2,yathzee
4,3,6,5,6,small-straight
4,3,1,3,2,small-straight
1,2,4,4,5,nothing
3,5,2,5,1,nothing
4,4,2,2,3,nothing
2,2,6,6,6,full-house
1,6,1,4,4,nothing
5,3,4,4,5,nothing
4,4,1,4,3,three-of-a-kind
2,2,3,2,1,three-of-a-kind
6,2,6,3,3,nothing
3,2,6,1,1,nothing
3,1,4,1,3,nothing
1,1,3,2,5,nothing
1,6,1,6,3,nothing
1,6,1,1,2,three-of-a-kind
1,2,3,3,4,small-straight
4,5,4,6,6,nothing
6,3,2,3,3,three-of-a-kind
6,4,2,6,4,nothing
2,5,5,3,4,nothing
6,4,6,6,6,four-of-a-kind
3,1,1,5,5,nothing
4,6,5,6,1,nothing
1,4,2,2,1,nothing
6,5,5,1,1,nothing
4,4,1,5,4,three-of-a-kind
2,6,4,2,2,three-of-a-kind
1,6,3,1,3,nothing
6,6,1,3,6,three-of-a-kind
1,5,2,3,3,nothing
4,2,4,2,6,nothing
1,4,3,6,4,nothing
3,1,2,4,4,small-straight
2,4,3,6,3,nothing
6,2,4,5,4,nothing
1,5,4,1,2,nothing
6,5,2,2,1,nothing
6,3,6,4,6,three-of-a-kind
6,4,4,6,1,nothing
5,4,6,4,4,three-of-a-kind
6,4,1,3,2,small-straight
2,6,3,4,4,nothing
1,5,4,3,3,nothing
5,2,6,3,2,nothing
5,2,6,3,1,nothing
1,4,1,4,5,nothing
5,6,5,6,3,nothing
3,1,5,2,6,nothing
3,6,1,6,5,nothing
6,5,6,6,3,three-of-a-kind
3,6,1,6,6,three-of-a-kind
3,4,6,6,1,nothing
2,5,2,6,6,nothing
5,1,5,3,2,nothing
2,1,5,6,6,nothing
4,4,2,1,6,nothing
2,4,3,1,6,small-straight
6,5,4,5,1,nothing
2,1,1,4,5,nothing
4,6,1,6,6,three-of-a-kind
1,4,5,6,2,nothing
4,4,2,1,5,nothing
5,4,4,3,1,nothing
4,3,4,6,3,nothing
6,1,2,2,6,nothing
6,5,3,5,2,nothing
3,6,5,5,1,nothing
4,1,2,5,1,nothing
6,6,2,5,1,nothing
1,6,6,3,4,nothing
3,5,3,2,3,three-of-a-kind
4,1,3,4,5,nothing
6,4,1,2,6,nothing
1,6,2,2,1,nothing
1,1,4,1,1,four-of-a-kind
1,5,3,6,4,small-straight
2,4,1,1,5,nothing
1,1,2,6,5,nothing
4,2,2,2,4,full-house
4,1,4,1,1,full-house
1,3,3,3,4,three-of-a-kind
4,5,2,6,6,nothing
1,1,4,5,4,nothing
4,2,4,5,4,three-of-a-kind
6,2,3,5,5,nothing
4,4,1,2,1,nothing
3,3,2,2,2,full-house
2,1,5,5,4,nothing
1,1,2,6,4,nothing
4,5,6,6,2,nothing
5,4,1,2,5,nothing
1,2,2,1,6,nothing
5,1,6,4,1,nothing
5,5,5,2,3,three-of-a-kind
2,3,6,5,4,large-straight
6,6,6,2,3,three-of-a-kind
3,6,2,6,5,nothing
2,4,1,3,1,small-straight
1,4,1,6,5,nothing
2,5,4,4,5,nothing
6,5,6,3,3,nothing
2,5,6,1,5,nothing
2,1,5,3,2,nothing
6,5,6,3,6,three-of-a-kind
3,5,6,5,2,nothing
4,2,6,2,3,nothing
1,5,3,2,2,nothing
4,5,2,5,4,nothing
4,1,5,4,1,nothing
4,6,1,4,4,three-of-a-kind
1,1,1,5,1,four-of-a-kind
2,6,5,1,3,nothing
6,5,1,3,5,nothing
1,3,6,1,4,nothing
1,6,5,2,1,nothing
6,2,5,4,5,nothing
5,1,4,3,5,nothing
1,4,2,5,1,nothing
2,2,5,1,1,nothing
2,2,1,5,1,nothing
5,6,1,4,4,nothing
5,4,4,5,3,nothing
4,2,3,1,3,small-straight
2,6,3,3,1,nothing
4,6,4,4,2,three-of-a-kind
4,6,5,3,3,small-straight
4,3,3,6,5,small-straight
2,4,6,3,5,large-straight
4,2,1,2,1,nothing
3,5,1,1,2,nothing
1,4,1,3,5,nothing
1,3,5,2,3,nothing
3,5,6,3,4,small-straight
4,3,5,3,1,nothing
5,4,6,1,4,nothing
1,3,6,5,4,small-straight
4,4,2,2,5,nothing
2,1,4,5,1,nothing
1,5,6,4,4,nothing
4,3,6,6,3,nothing
6,4,5,6,5,nothing
6,1,6,2,2,nothing
3,3,5,1,6,nothing
2,2,4,5,2,three-of-a-kind
3,2,2,1,6,nothing
3,5,4,6,2,large-straight
1,2,3,4,2,small-straight
3,4,2,2,3,nothing
1,1,1,3,2,three-of-a-kind
6,1,3,6,5,nothing
1,3,2,5,6,nothing
1,3,5,3,1,nothing
6,1,2,4,6,nothing
6,2,6,3,6,three-of-a-kind
4,2,1,5,1,nothing
6,6,6,6,1,four-of-a-kind
1,1,6,4,1,three-of-a-kind
5,4,3,3,3,three-of-a-kind
6,4,5,3,1,small-straight
2,6,4,1,2,nothing
2,4,5,2,4,nothing
2,4,4,5,2,nothing
2,6,2,5,3,nothing
6,3,6,1,6,three-of-a-kind
5,5,1,4,6,nothing
5,1,5,1,1,full-house
1,1,5,4,2,nothing
2,3,2,1,6,nothing
1,5,1,3,2,nothing
5,5,3,2,2,nothing
3,6,1,5,6,nothing
5,3,2,6,4,large-straight
1,6,2,5,1,nothing
4,3,3,1,5,nothing
5,1,6,2,4,nothing
1,2,5,6,3,nothing
5,2,4,2,2,three-of-a-kind
5,5,4,2,1,nothing
1,3,1,6,3,nothing
3,6,3,2,4,nothing
6,3,2,3,6,nothing
4,6,6,4,1,nothing
4,3,5,6,5,small-straight
1,3,6,3,5,nothing
4,3,6,5,4,small-straight
1,6,1,4,5,nothing
6,4,5,3,6,small-straight
3,4,6,6,3,nothing
3,2,5,3,4,nothing
1,6,2,2,5,nothing
2,2,2,5,1,three-of-a-kind
5,2,6,3,5,nothing
3,4,6,3,5,small-straight
3,4,5,6,1,small-straight
3,4,4,1,2,small-straight
1,3,3,4,1,nothing
4,1,3,1,4,nothing
5,3,2,1,6,nothing
5,5,5,3,4,three-of-a-kind
3,4,5,5,4,nothing
4,3,2,5,2,nothing
6,6,6,4,1,three-of-a-kind
2,2,2,4,4,full-house
6,1,2,3,2,nothing
1,1,2,3,1,three-of-a-kind
1,6,5,2,3,nothing
5,4,5,1,6,nothing
5,2,2,1,6,nothing
6,2,4,5,5,nothing
5,1,2,1,5,nothing
5,3,5,3,1,nothing
3,1,3,2,4,small-straight
4,6,5,5,6,nothing
1,6,3,1,4,nothing
3,2,1,6,3,nothing
5,1,5,4,1,nothing
3,4,6,1,5,small-straight
3,6,5,6,3,nothing
2,5,4,4,2,nothing
1,6,3,5,5,nothing
6,3,3,3,2,three-of-a-kind
1,6,5,1,4,nothing
6,2,1,5,4,nothing
1,6,5,6,4,nothing
5,3,3,4,6,small-straight
1,6,6,2,6,three-of-a-kind
5,2,3,6,4,large-straight
1,3,4,2,5,large-straight
5,4,4,1,2,nothing
6,5,3,6,6,three-of-a-kind
2,5,3,2,4,nothing
3,6,1,1,6,nothing
4,3,6,5,2,large-straight
1,6,5,4,1,nothing
4,6,3,1,1,nothing
3,1,5,2,2,nothing
1,5,2,3,4,large-straight
6,6,6,1,4,three-of-a-kind
1,3,3,5,4,nothing
6,3,6,2,1,nothing
1,1,2,3,6,nothing
3,5,2,3,6,nothing
6,3,1,4,3,nothing
4,2,4,5,6,nothing
3,1,1,4,2,small-straight
1,3,4,4,1,nothing
2,5,1,3,6,nothing
3,4,2,4,3,nothing
5,2,1,4,3,large-straight
5,4,3,2,4,nothing
2,2,2,4,1,three-of-a-kind
1,3,3,2,2,nothing
5,6,3,3,5,nothing
3,6,3,1,2,nothing
4,2,4,1,2,nothing
6,3,3,4,2,nothing
1,4,1,6,1,three-of-a-kind
5,4,4,1,3,nothing
3,2,1,4,2,small-straight
2,1,6,4,6,nothing
4,5,2,6,1,nothing
2,4,6,2,2,three-of-a-kind
2,2,3,5,2,three-of-a-kind
2,4,2,1,5,nothing
1,1,4,5,2,nothing
6,2,4,6,5,nothing
3,3,4,4,1,nothing
3,1,5,5,5,three-of-a-kind
6,4,1,1,6,nothing
2,3,3,3,6,three-of-a-kind
4,5,5,5,3,three-of-a-kind
6,4,6,5,3,small-straight
1,6,1,5,4,nothing
2,4,4,1,6,nothing
6,2,3,1,6,nothing
2,6,5,4,5,nothing
1,1,2,6,2,nothing
1,6,2,4,6,nothing
3,5,3,2,5,nothing
2,5,1,4,4,nothing
2,5,2,2,4,three-of-a-kind
3,3,6,5,6,nothing
1,4,2,1,2,nothing
3,3,2,3,4,three-of-a-kind
1,5,2,5,2,nothing
2,6,5,6,3,nothing
5,3,2,2,2,three-of-a-kind
1,4,5,1,2,nothing
4,6,4,3,3,nothing
5,2,2,6,6,nothing
1,4,2,1,4,nothing
6,2,6,6,1,three-of-a-kind
3,5,5,4,4,nothing
4,4,5,2,5,nothing
3,4,3,2,1,small-straight
5,1,3,1,5,nothing
6,5,4,3,2,large-straight
2,2,4,3,4,nothing
1,3,1,6,4,nothing
1,2,4,2,1,nothing
5,6,3,6,1,nothing
5,6,6,6,6,four-of-a-kind
2,3,1,2,2,three-of-a-kind
6,2,3,4,1,small-straight
1,4,5,3,1,nothing
5,4,3,6,1,small-straight
1,6,6,6,5,three-of-a-kind
1,2,6,1,3,nothing
1,1,5,2,4,nothing
5,5,3,2,3,nothing
5,5,4,6,1,nothing
2,1,1,5,6,nothing
4,5,6,4,3,small-straight
1,4,3,4,1,nothing
5,1,5,3,6,nothing
5,3,3,4,1,nothing
1,1,4,1,3,three-of-a-kind
4,4,6,1,5,nothing
4,3,6,5,1,small-straight
6,3,2,6,1,nothing
5,6,2,1,6,nothing
5,3,2,5,5,three-of-a-kind
6,4,2,6,1,nothing
4,2,1,3,5,large-straight
4,5,2,2,4,nothing
6,4,3,2,6,nothing
3,4,4,1,3,nothing
4,4,5,6,4,three-of-a-kind
4,4,3,5,3,nothing
1,5,5,6,4,nothing
2,1,4,2,1,nothing
1,3,3,5,3,three-of-a-kind
3,2,2,2,4,three-of-a-kind
3,2,5,5,5,three-of-a-kind
4,4,1,1,5,nothing
5,5,4,4,6,nothing
6,3,5,4,5,small-straight
6,2,1,2,1,nothing
5,5,6,2,6,nothing
6,1,5,1,2,nothing
3,3,5,2,5,nothing
5,6,6,4,4,nothing
2,1,2,5,1,nothing
5,3,2,4,5,nothing
1,4,5,5,3,nothing
1,2,1,2,4,nothing
2,4,4,4,2,full-house
6,6,3,5,2,nothing
1,5,1,2,5,nothing
3,3,6,4,3,three-of-a-kind
2,6,1,5,1,nothing
4,2,3,4,5,nothing
4,5,1,4,5,nothing
2,2,1,2,5,three-of-a-kind
3,6,2,1,2,nothing
4,2,1,5,4,nothing
2,1,1,2,1,full-house
3,2,2,1,1,nothing
3,2,5,1,3,nothing
3,1,4,5,3,nothing
1,4,2,2,2,three-of-a-kind
1,5,5,2,5,three-of-a-kind
5,2,5,2,4,nothing
6,1,1,4,6,nothing
3,3,1,1,6,nothing
6,4,3,5,2,large-straight
4,6,2,2,5,nothing
5,3,2,2,4,nothing
6,5,5,1,5,three-of-a-kind
3,5,1,5,5,three-of-a-kind
3,6,3,6,4,nothing
1,3,2,1,5,nothing
6,5,6,4,2,nothing
4,6,3,5,3,small-straight
4,3,2,2,2,three-of-a-kind
3,3,2,2,1,nothing
4,5,6,3,6,small-straight
5,3,5,1,4,nothing
2,6,3,2,1,nothing
4,3,5,4,6,small-straight
2,5,2,1,2,three-of-a-kind
2,4,3,2,3,nothing
6,3,6,6,5,three-of-a-kind
1,4,4,2,1,nothing
3,5,2,6,4,large-straight
6,1,4,2,5,nothing
3,5,3,6,3,three-of-a-kind
6,4,3,1,5,small-straight
1,4,2,1,3,small-straight
4,4,2,5,4,three-of-a-kind
3,3,5,1,5,nothing
2,3,3,5,1,nothing
2,6,1,5,4,nothing
2,3,5,6,5,nothing
1,3,4,2,6,small-straight
5,3,4,4,6,small-straight
5,6,1,1,6,nothing
5,6,5,4,6,nothing
6,4,4,6,4,full-house
1,6,6,6,1,full-house
3,4,5,4,4,three-of-a-kind
3,1,6,4,4,nothing
2,3,5,6,6,nothing
3,1,4,2,2,small-straight
4,5,2,2,6,nothing
6,1,6,5,6,three-of-a-kind
3,2,1,3,3,three-of-a-kind
5,6,1,3,5,nothing
1,5,2,6,2,nothing
3,6,4,6,1,nothing
3,1,1,2,3,nothing
4,3,3,3,5,three-of-a-kind
5,2,2,2,2,four-of-a-kind
1,5,4,3,2,large-straight
3,3,2,4,5,nothing
5,2,1,2,4,nothing
5,5,5,2,6,three-of-a-kind
3,1,4,6,3,nothing
5,2,2,5,6,nothing
2,3,6,3,4,nothing
6,6,6,6,6,yathzee
3,4,5,6,5,small-straight
5,4,5,3,1,nothing
2,6,6,2,6,full-house
5,4,2,2,3,nothing
6,1,2,3,3,nothing
2,3,6,1,4,small-straight
6,2,6,2,2,full-house
2,2,1,6,4,nothing
1,1,5,5,2,nothing
4,2,2,6,5,nothing
1,1,5,5,5,full-house
2,3,1,1,2,nothing
4,4,3,5,5,nothing
3,2,1,6,2,nothing
4,3,6,3,2,nothing
1,5,4,6,1,nothing
4,3,6,3,5,small-straight
1,1,2,4,1,three-of-a-kind
1,5,3,5,4,nothing
2,1,6,6,6,three-of-a-kind
3,1,5,2,4,large-straight
6,5,5,1,2,nothing
4,5,6,3,4,small-straight
5,3,1,2,2,nothing
5,6,2,2,2,three-of-a-kind
3,4,1,1,3,nothing
6,5,4,3,6,small-straight
1,2,3,4,3,small-straight
4,1,2,2,2,three-of-a-kind
5,5,6,6,1,nothing
2,5,5,6,6,nothing
4,6,5,2,5,nothing
6,5,1,2,3,nothing
2,1,5,1,1,three-of-a-kind
2,3,4,6,2,nothing
2,4,2,4,1,nothing
2,3,1,2,6,nothing
3,6,4,1,1,nothing
5,6,4,2,6,nothing
3,4,6,6,5,small-straight
2,3,6,1,3,nothing
1,1,2,1,2,full-house
6,4,2,4,2,nothing
1,1,1,6,3,three-of-a-kind
5,3,1,6,6,nothing
4,5,3,1,3,nothing
5,3,3,3,5,full-house
5,4,2,5,4,nothing
2,4,6,6,6,three-of-a-kind
4,5,5,1,4,nothing
3,1,1,4,5,nothing
1,5,1,4,2,nothing
3,1,5,1,4,nothing
4,6,1,5,6,nothing
3,3,6,2,1,nothing
4,6,5,2,2,nothing
3,3,5,5,4,nothing
2,4,6,2,4,nothing
3,1,2,1,2,nothing
2,2,3,6,2,three-of-a-kind
4,3,3,3,1,three-of-a-kind
6,6,4,5,2,nothing
5,1,4,4,4,three-of-a-kind
3,6,3,4,4,nothing
4,3,3,3,4,full-house
3,4,1,2,1,small-straight
4,4,5,5,4,full-house
1,4,2,6,5,nothing
5,3,6,3,5,nothing
5,4,1,3,6,small-straight
4,4,1,5,2,nothing
5,3,2,3,5,nothing
1,1,4,3,4,nothing
1,6,2,6,3,nothing
6,2,4,2,4,nothing
3,2,4,1,1,small-straight
6,4,5,4,2,nothing
4,6,5,1,2,nothing
6,3,4,3,2,nothing
6,5,2,5,5,three-of-a-kind
2,1,3,1,5,nothing
4,5,5,6,3,small-straight
6,3,2,4,3,nothing
3,6,4,4,6,nothing
4,2,5,4,3,nothing
2,3,3,3,1,three-of-a-kind
1,5,6,2,1,nothing
2,4,1,6,5,nothing
1,3,6,1,6,nothing
5,4,6,1,5,nothing
1,6,3,1,5,nothing
1,3,3,4,6,nothing
3,4,5,3,4,nothing
5,6,4,6,3,small-straight
1,6,1,6,4,nothing
5,5,4,3,3,nothing
2,4,5,4,1,nothing
6,4,1,3,6,nothing
3,4,1,2,3,small-straight
1,6,3,6,6,three-of-a-kind
6,5,4,2,5,nothing
4,1,6,6,2,nothing
4,2,2,6,3,nothing
5,2,6,6,4,nothing
6,5,5,2,5,three-of-a-kind
4,1,4,4,2,three-of-a-kind
4,5,6,1,3,small-straight
3,2,2,2,5,three-of-a-kind
6,5,1,6,2,nothing
2,2,2,6,4,three-of-a-kind
4,3,5,4,2,nothing
6,6,1,1,4,nothing
4,6,1,6,3,nothing
4,3,5,1,4,nothing
1,1,6,2,2,nothing
5,3,3,2,2,nothing
3,4,4,4,6,three-of-a-kind
6,4,3,5,1,small-straight
4,4,5,1,1,nothing
2,3,4,3,3,three-of-a-kind
4,5,1,4,4,three-of-a-kind
1,5,6,6,4,nothing
2,3,5,2,2,three-of-a-kind
3,4,5,6,3,small-straight
2,2,6,4,6,nothing
5,3,1,2,4,large-straight
5,4,4,2,2,nothing
3,3,5,6,1,nothing
3,1,1,1,1,four-of-a-kind
3,1,6,3,4,nothing
1,2,2,1,3,nothing
5,3,6,3,1,nothing
6,1,1,6,3,nothing
6,1,2,6,1,nothing
6,1,2,4,2,nothing
2,1,2,4,1,nothing
2,3,4,5,5,nothing
3,4,1,4,2,small-straight
2,2,4,1,6,nothing
3,4,6,4,6,nothing
1,1,4,2,4,nothing
2,5,5,1,2,nothing
4,6,6,4,2,nothing
4,2,6,2,1,nothing
5,2,4,2,5,nothing
5,4,2,6,3,large-straight
5,2,5,5,2,full-house
4,2,5,3,5,nothing
4,1,5,4,2,nothing
6,6,6,5,6,four-of-a-kind
4,1,4,6,5,nothing
3,6,2,5,6,nothing
6,6,3,3,5,nothing
4,1,6,2,1,nothing
2,4,3,1,4,small-straight
3,4,3,5,5,nothing
4,5,1,4,2,nothing
5,5,6,5,1,three-of-a-kind
5,4,4,2,4,three-of-a-kind
1,5,2,2,4,nothing
6,6,5,5,4,nothing
1,1,5,5,6,nothing
2,6,4,2,3,nothing
1,6,4,3,5,small-straight
4,6,2,1,4,nothing
5,4,3,2,6,large-straight
5,5,5,4,4,full-house
6,5,3,1,5,nothing
3,4,4,2,3,nothing
3,3,1,6,2,nothing
5,5,4,3,5,three-of-a-kind
4,6,3,5,6,small-straight
1,1,3,4,2,small-straight
4,5,4,3,1,nothing
2,6,1,2,4,nothing
5,5,2,4,5,three-of-a-kind
5,1,4,1,1,three-of-a-kind
5,1,3,2,6,nothing
1,6,3,3,6,nothing
6,2,4,4,6,nothing
5,3,4,2,6,large-straight
3,2,2,6,3,nothing
5,1,3,4,3,nothing
1,5,3,2,4,large-straight
5,1,3,5,3,nothing
4,6,5,4,1,nothing
4,2,2,6,6,nothing
2,1,5,3,5,nothing
3,4,1,1,4,nothing
3,5,3,4,1,nothing
6,6,3,2,1,nothing
5,1,1,2,2,nothing
5,2,5,6,5,three-of-a-kind
5,6,4,3,6,small-straight
4,5,2,5,2,nothing
4,2,6,2,6,nothing
1,2,6,3,1,nothing
6,5,5,2,4,nothing
1,2,5,3,6,nothing
5,3,5,6,3,nothing
6,5,3,2,4,large-straight
3,6,3,5,5,nothing
2,2,2,1,3,three-of-a-kind
5,3,5,4,5,three-of-a-kind
4,4,4,1,3,three-of-a-kind
5,5,5,6,3,three-of-a-kind
2,1,1,6,4,nothing
6,4,1,6,1,nothing
2,5,6,4,2,nothing
6,6,1,4,2,nothing
6,6,4,3,1,nothing
1,6,5,6,6,three-of-a-kind
4,2,1,2,6,nothing
4,2,2,2,2,four-of-a-kind
5,1,4,6,2,nothing
2,3,3,3,5,three-of-a-kind
3,2,5,5,4,nothing
3,5,3,6,6,nothing
5,6,3,2,6,nothing
5,5,1,4,2,nothing
2,2,5,2,6,three-of-a-kind
5,3,5,1,5,three-of-a-kind
1,2,6,2,5,nothing
6,4,4,6,5,nothing
5,5,6,2,2,nothing
6,3,4,6,6,three-of-a-kind
6,6,6,1,5,three-of-a-kind
4,5,1,2,2,nothing
2,6,6,5,5,nothing
6,1,4,2,6,nothing
6,5,1,5,2,nothing
3,3,6,1,2,nothing
6,6,4,3,4,nothing
4,6,6,2,4,nothing
4,3,4,2,2,nothing
4,6,1,3,4,nothing
6,1,1,4,3,nothing
1,4,2,1,1,three-of-a-kind
4,4,5,4,2,three-of-a-kind
1,1,1,4,2,three-of-a-kind
5,1,2,1,1,three-of-a-kind
2,5,5,4,2,nothing
1,2,1,1,1,four-of-a-kind
2,3,3,4,3,three-of-a-kind
5,6,4,3,3,small-straight
5,2,1,5,3,nothing
4,1,4,1,2,nothing
1,4,3,3,1,nothing
5,3,2,3,4,nothing
4,1,4,1,6,nothing
3,6,4,2,2,nothing
2,4,1,4,2,nothing
3,4,2,1,2,small-straight
1,6,4,2,2,nothing
1,2,2,3,2,three-of-a-kind
6,1,2,5,1,nothing
5,5,1,3,5,three-of-a-kind
3,3,6,5,3,three-of-a-kind
